[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: P206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: Q206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: R206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: S206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: T206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: U206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: V206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: W206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: X206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: Y206 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [TEXTO] | Hoja: A03 | Celda: F207 | Valor: RANGO ETARIO Y SEXO | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
[2026-03-25 16:43:26] [NULO] | Hoja: A03 | Celda: G207 | Valor: None | Ruta: C:\Users\Anghello\Documents\GitHub\METAS_SANITARIAS_2026_ELT\REFACTORIZACION\data\raw\rem\2024\SERIE_A\10\121307A.xlsm
